age,gender,vehicle_age,vehicle_type,annual_mileage,driving_violations,claim_amount,previous_claims,credit_score,region,is_fraud
41,F,3,sedan,12942,1,4140,0,692,urban,0
33,M,1,sports,16077,1,2322,2,448,urban,1
34,M,4,truck,7401,1,16864,1,677,rural,0
31,F,4,luxury,12292,1,10190,0,559,suburban,0
32,F,8,sports,10564,0,7320,1,838,urban,0
43,F,6,truck,8457,0,6236,3,809,rural,0
34,F,1,suv,10133,0,3633,1,747,suburban,0
55,M,6,luxury,10472,0,1676,1,709,suburban,0
67,M,4,sedan,12411,2,7290,1,782,urban,0
36,M,3,sedan,10044,1,1285,3,631,urban,0
48,M,2,suv,6799,1,2078,3,475,rural,0
52,F,5,truck,16370,2,4803,1,711,rural,0
52,F,5,luxury,11430,0,500,2,613,rural,0
46,F,6,sports,10017,1,8452,1,695,urban,0
56,F,2,suv,11271,0,8010,2,669,suburban,1
52,M,3,suv,12439,1,3846,1,699,suburban,0
26,M,0,suv,4233,1,4018,2,751,urban,0
58,F,6,suv,1000,0,1105,0,621,rural,0
58,M,7,sports,20215,1,5682,0,453,rural,0
33,M,3,suv,11311,0,1458,1,648,suburban,0
45,F,7,sedan,12610,0,939,1,721,suburban,0
55,M,7,sedan,16509,0,5714,1,693,urban,0
41,F,5,suv,7432,1,3279,1,549,suburban,0
61,M,5,truck,6552,0,19286,1,646,rural,0
80,M,4,sedan,13820,0,7335,1,537,urban,0
33,F,5,luxury,13707,2,1346,0,695,suburban,0
24,F,2,truck,10699,0,3523,0,743,urban,0
49,F,4,suv,12521,0,4694,1,784,rural,0
55,M,6,sports,14884,0,2410,1,709,urban,1
41,F,5,truck,1156,3,1842,2,696,rural,1
66,M,4,luxury,9840,0,692,1,772,urban,0
24,F,6,truck,11486,0,13457,1,554,rural,0
55,M,4,sedan,1000,2,4844,2,740,urban,0
35,F,4,sedan,9996,0,528,1,583,suburban,0
70,F,6,sports,10426,0,22397,2,684,urban,0
74,M,4,truck,3668,0,7046,0,769,urban,0
33,M,7,sports,22852,0,14095,0,652,rural,1
36,F,7,truck,11578,0,40438,0,472,urban,1
57,M,6,suv,22178,0,3904,3,605,rural,1
39,F,4,truck,3891,1,4196,0,542,urban,0
44,M,5,truck,6424,2,500,1,685,urban,0
45,M,5,suv,3784,2,3505,2,572,suburban,1
18,F,5,luxury,14872,0,1892,1,566,urban,0
44,F,6,sedan,14582,1,1542,1,546,rural,0
34,M,6,truck,14794,0,784,1,456,urban,1
37,M,8,sports,5778,0,5411,2,592,suburban,1
66,M,4,suv,19834,1,1430,1,732,rural,0
26,M,9,luxury,20201,1,7642,0,484,rural,0
57,F,11,sedan,18876,1,813,0,682,rural,0
40,F,5,sedan,6874,0,500,0,583,urban,1
40,M,5,sports,19673,0,17354,1,510,rural,0
56,F,5,luxury,16125,0,10747,0,566,urban,0
50,M,2,sports,11173,0,1072,3,674,suburban,0
53,M,4,sedan,6847,0,1610,0,708,suburban,0
59,M,6,truck,11439,1,3136,1,788,rural,0
40,F,3,suv,18109,1,7122,0,564,suburban,0
35,M,6,suv,15190,1,6709,2,729,urban,0
28,F,6,sports,8823,1,2171,0,711,suburban,0
32,F,2,truck,12219,0,2825,2,797,rural,0
85,M,2,sedan,5970,0,4079,0,599,rural,0
63,F,7,suv,12184,0,805,1,651,rural,0
24,M,7,suv,3338,1,2277,1,567,urban,0
25,M,5,sports,9179,0,3519,1,743,rural,0
52,F,4,luxury,19025,0,3027,1,680,suburban,0
53,M,3,suv,21545,0,23411,0,646,rural,0
53,F,5,sports,10122,1,2742,1,603,suburban,1
41,F,2,sedan,15044,0,609,1,680,urban,0
43,F,5,suv,29228,1,3590,0,646,rural,0
49,M,6,sports,22923,2,1790,3,712,suburban,0
46,F,7,luxury,10047,0,3608,1,618,suburban,0
18,M,6,truck,6014,1,592,0,597,suburban,0
41,M,4,suv,12043,0,4764,0,658,suburban,0
32,F,3,sports,23354,2,6548,1,614,rural,0
47,F,4,truck,6732,0,3361,2,603,rural,0
85,M,4,luxury,1787,0,1122,1,487,rural,0
50,F,12,suv,15245,0,4565,1,537,rural,0
40,F,6,sports,13104,0,1754,0,486,urban,0
58,F,4,truck,13133,0,4472,0,607,rural,0
52,M,4,sedan,11882,0,3473,3,763,rural,0
51,F,13,sedan,11319,0,500,1,511,rural,0
54,M,6,sports,5905,1,9977,0,542,urban,0
75,M,4,truck,14248,0,6594,1,634,rural,0
28,F,5,sedan,12190,2,15427,1,823,rural,1
52,F,3,suv,22773,1,617,2,774,rural,0
31,M,4,sports,10663,0,500,1,447,rural,0
53,M,6,luxury,12690,1,2760,1,654,rural,0
31,F,5,suv,4100,0,909,0,442,suburban,1
38,M,6,sports,6100,1,2197,0,645,rural,0
40,F,5,sedan,15416,0,2160,0,811,rural,1
59,M,7,luxury,22589,0,2784,1,538,suburban,0
58,F,5,suv,13465,0,882,1,672,rural,0
26,M,7,truck,10639,1,1426,0,687,urban,0
45,F,5,luxury,3181,2,2920,1,673,suburban,0
34,F,4,sedan,12815,1,1089,3,850,urban,0
26,M,7,luxury,18710,2,4668,1,734,urban,0
41,F,4,sedan,8717,0,29544,1,813,suburban,1
40,M,4,sports,8729,0,1348,0,676,rural,0
81,M,5,suv,6818,0,3236,0,598,suburban,1
51,M,1,sports,16919,0,1553,0,646,urban,0
24,M,7,luxury,12184,0,1032,1,720,rural,0
36,F,1,sports,10195,0,3304,1,606,urban,0
60,M,5,suv,15487,0,7119,1,633,suburban,0
76,M,5,luxury,8510,2,11150,1,545,urban,1
21,M,4,sports,5887,0,1296,1,740,suburban,0
18,F,4,sports,13304,0,4329,1,578,suburban,0
73,M,5,sports,10917,0,26007,0,652,rural,0
50,F,7,truck,12341,1,2573,0,535,urban,0
31,F,1,luxury,19381,1,32835,1,682,rural,0
53,M,8,suv,15027,1,1201,0,850,rural,0
18,F,3,luxury,6075,0,500,2,850,urban,0
45,M,4,luxury,11660,0,16150,0,597,suburban,0
49,F,4,sports,9967,0,4190,0,727,suburban,0
58,F,6,sedan,10261,0,2038,1,569,suburban,0
29,M,6,sports,5972,0,11517,1,656,suburban,1
46,F,3,sedan,10210,0,11564,2,505,urban,0
31,M,3,truck,8212,0,5894,0,640,suburban,0
48,F,2,truck,9909,1,1045,2,559,urban,0
31,M,3,sedan,12079,0,1627,1,539,urban,0
38,M,5,sports,10330,0,3903,1,759,suburban,0
30,M,6,sports,3584,1,18484,2,661,rural,0
54,M,6,luxury,9342,0,3950,0,560,suburban,1
57,F,6,luxury,8935,0,1924,1,577,rural,0
41,M,5,truck,15252,0,12058,1,530,suburban,0
45,M,5,luxury,13610,0,1011,2,661,urban,0
23,M,6,luxury,15456,0,1379,1,800,rural,0
40,M,6,luxury,13283,0,1792,1,705,urban,0
44,F,5,truck,12454,0,10206,0,622,rural,0
84,M,6,luxury,11807,0,500,1,601,urban,0
28,F,6,sedan,17588,0,2501,0,703,suburban,0
66,M,6,suv,19188,1,2546,0,669,urban,0
59,M,4,suv,14010,0,6975,1,581,rural,0
49,M,7,luxury,14873,1,855,1,668,urban,1
71,M,6,luxury,6193,0,1704,1,678,suburban,0
50,M,3,luxury,10551,1,2482,0,705,urban,0
50,M,7,sedan,11234,0,500,1,506,urban,0
44,F,4,truck,9407,0,10228,0,642,urban,0
63,F,9,suv,20852,0,7164,0,548,rural,0
61,M,5,sports,13135,0,1341,1,756,urban,0
35,M,5,luxury,11107,1,3884,0,815,urban,0
25,M,9,sports,5312,1,6457,1,648,urban,0
41,F,5,sedan,15482,1,8249,0,843,suburban,0
32,M,3,truck,14536,1,8255,1,766,rural,0
44,F,5,sports,8477,0,5969,1,519,urban,0
63,F,3,luxury,9423,0,8918,1,742,rural,0
38,F,5,luxury,9053,1,5324,0,594,rural,0
44,F,5,sedan,13299,0,795,1,613,urban,0
45,F,3,luxury,9945,1,3634,2,850,urban,0
57,M,7,sports,6539,1,2145,2,731,urban,0
18,F,3,truck,21458,0,3379,1,788,rural,0
35,F,6,luxury,13081,0,696,1,657,rural,0
48,M,8,luxury,5609,0,500,0,601,urban,0
63,M,3,sports,5649,1,19678,0,697,suburban,1
37,F,4,truck,15673,2,4382,0,563,urban,0
18,M,6,sports,6724,1,7571,1,483,urban,0
54,M,5,sedan,8662,0,13020,0,642,suburban,0
35,M,7,luxury,5618,1,1294,1,629,suburban,0
27,F,10,suv,8414,1,4057,3,719,rural,0
35,F,6,sedan,15640,0,2775,1,689,rural,0
42,M,8,suv,11886,0,5218,0,686,urban,0
35,M,3,sports,8809,1,621,1,597,urban,0
18,F,5,suv,3900,1,4721,0,632,urban,0
58,F,2,truck,6011,0,3705,1,734,rural,0
64,M,6,luxury,9466,1,2222,0,572,rural,0
54,F,6,truck,12090,0,509,0,721,rural,0
27,F,1,truck,14325,1,12101,0,543,suburban,0
41,M,5,sports,5971,0,2188,4,693,urban,0
44,M,2,truck,13930,0,959,1,481,suburban,1
53,F,4,suv,13385,0,727,1,626,suburban,0
55,F,3,sedan,13135,0,7224,0,519,suburban,0
33,F,7,sedan,1964,0,1489,1,588,urban,0
46,M,4,sedan,12512,1,1006,2,663,suburban,0
51,M,6,suv,10168,2,2321,1,611,urban,0
66,M,9,luxury,10914,1,4491,1,795,rural,0
55,M,4,suv,20751,1,18731,1,658,suburban,0
56,F,4,sedan,3663,1,826,0,649,urban,0
46,M,4,luxury,21869,0,5935,0,665,suburban,0
66,M,4,sports,1000,0,9437,1,442,rural,0
51,F,5,suv,10418,3,9223,1,791,rural,0
32,M,9,truck,14691,0,6966,0,436,suburban,0
66,F,3,truck,6374,1,3774,0,643,urban,0
55,M,6,truck,13375,1,41341,3,615,rural,0
38,F,4,suv,8265,1,5078,1,643,rural,0
37,F,6,sports,13171,3,6796,1,545,urban,1
49,F,3,luxury,11180,2,9855,0,768,rural,1
51,M,8,suv,11143,1,2762,0,533,suburban,0
47,F,5,suv,19440,2,1770,0,635,rural,0
49,M,7,suv,17054,1,1507,3,675,urban,0
70,M,4,luxury,8985,0,2518,1,591,rural,0
61,M,4,sports,15195,0,2721,1,606,suburban,0
47,M,2,suv,12827,1,1033,0,633,suburban,0
59,M,7,sedan,7872,0,1145,0,831,rural,0
29,M,5,luxury,10208,1,16302,1,593,urban,0
50,F,6,sports,16433,1,14084,1,591,suburban,0
72,F,8,sedan,7375,0,24829,1,645,suburban,0
41,M,7,suv,10083,0,6623,0,733,suburban,0
32,M,4,sedan,16407,0,3448,1,697,rural,0
35,M,4,truck,16915,2,4890,1,820,urban,0
28,M,3,sports,12817,0,1148,1,629,urban,0
33,M,6,sports,8320,0,981,0,610,urban,1
39,F,9,truck,14503,3,1988,1,819,urban,1
23,F,4,sedan,3353,0,3932,1,674,rural,0
45,M,8,sports,6566,1,923,1,552,urban,0
58,M,4,suv,18668,0,1841,2,649,urban,0
31,F,5,truck,18281,0,2132,4,621,suburban,1
67,M,1,sports,8169,2,6063,0,675,urban,1
52,M,3,sports,5329,1,2191,2,366,rural,0
60,M,5,luxury,5485,1,2770,1,554,rural,0
35,F,1,sedan,8577,0,2558,0,536,rural,0
57,F,6,truck,12813,0,2385,1,649,rural,0
28,M,5,sports,7691,1,4195,3,700,rural,0
58,F,6,truck,10154,0,2140,1,564,urban,1
47,F,5,suv,10264,0,2015,0,561,rural,0
53,M,4,luxury,15888,0,2208,0,564,suburban,0
27,F,4,sedan,7670,0,844,0,492,urban,0
31,F,3,sedan,11662,0,7438,0,582,suburban,0
53,F,5,suv,22723,0,3269,0,688,suburban,0
30,F,5,sports,11639,0,1546,0,672,rural,1
51,F,3,luxury,11402,0,1225,0,634,rural,0
24,F,5,sedan,10378,0,947,2,562,suburban,0
57,M,6,truck,12297,0,15342,0,787,rural,0
26,M,8,suv,12034,1,6550,0,703,rural,0
53,M,7,sedan,13887,1,1716,3,763,urban,1
54,F,4,sports,19510,0,6456,1,748,urban,0
34,M,4,luxury,9712,0,13197,0,651,urban,0
53,F,1,sedan,10023,0,3408,0,685,urban,0
48,F,4,sports,19923,2,1163,0,663,rural,1
36,M,4,sports,9548,1,3426,1,664,urban,1
29,F,7,suv,10767,0,1772,0,754,suburban,0
18,M,4,sports,12323,1,3694,0,787,urban,1
50,F,6,suv,9438,1,4296,1,835,urban,0
21,M,4,truck,12941,0,500,0,680,urban,1
46,M,5,suv,6140,0,922,0,630,rural,0
41,M,3,sedan,2939,0,7043,1,579,rural,1
55,M,3,suv,5112,1,5260,0,643,urban,0
40,F,4,luxury,17808,1,1399,0,734,rural,0
40,M,8,truck,22113,0,796,1,648,suburban,1
55,F,6,suv,3889,0,1984,2,513,urban,0
50,M,5,truck,12449,1,558,1,636,suburban,0
49,M,7,suv,15568,0,13303,2,620,urban,0
52,M,8,sports,7379,1,10808,0,650,rural,0
21,F,4,sports,14991,0,5148,0,664,rural,0
56,M,7,sedan,15171,0,6294,1,639,urban,0
54,M,4,sports,12447,1,2256,1,572,rural,0
29,F,6,luxury,16590,0,779,5,635,rural,0
41,M,4,sports,11622,0,500,0,696,suburban,0
44,F,6,luxury,17499,0,7990,1,653,rural,0
42,M,3,suv,13364,0,16483,1,588,suburban,0
50,M,2,suv,15354,0,4592,2,567,rural,0
66,M,4,luxury,20128,0,6163,0,743,urban,0
61,F,7,sedan,10252,1,3200,0,712,rural,0
25,M,6,sports,8785,0,2760,1,635,rural,0
54,M,10,luxury,12652,0,8016,1,710,urban,0
64,M,5,sports,6853,0,1353,1,683,rural,0
50,F,5,truck,2318,0,2572,2,579,suburban,0
61,F,6,sedan,3388,1,2099,1,651,suburban,0
75,F,6,suv,16227,1,702,0,611,urban,0
60,F,2,luxury,9107,1,1716,3,666,urban,0
48,F,3,truck,3705,0,547,0,680,urban,0
60,F,5,luxury,9166,1,4115,0,561,suburban,0
47,M,4,luxury,7548,0,2659,0,673,urban,0
45,M,10,luxury,6540,1,500,0,600,suburban,0
39,M,4,luxury,9800,2,7732,0,756,urban,0
68,M,6,suv,17423,0,2081,2,665,suburban,0
32,M,5,suv,14217,0,16767,1,634,urban,0
67,F,9,suv,10540,0,13074,1,698,rural,0
52,F,5,sedan,13556,1,1635,3,653,urban,0
24,F,10,suv,15396,0,2998,0,751,suburban,0
50,M,8,sports,13920,0,1620,0,805,suburban,0
18,F,6,suv,13888,1,500,0,554,urban,0
54,M,6,luxury,10335,1,5076,0,778,rural,0
58,F,4,luxury,21430,0,2939,1,606,suburban,0
36,M,5,sports,11227,1,2103,0,653,rural,0
46,F,2,truck,14005,0,2554,1,673,urban,0
74,M,3,luxury,8759,0,2149,3,755,suburban,0
37,F,7,luxury,15465,1,1282,1,639,rural,1
29,M,4,suv,17141,0,4995,0,605,urban,0
67,F,6,suv,14360,1,11394,0,680,urban,0
74,M,4,luxury,16785,0,3213,1,561,suburban,0
45,M,4,sports,17141,0,1049,1,554,suburban,0
60,M,4,luxury,16667,1,881,1,817,urban,0
65,M,7,suv,11600,1,18513,1,562,urban,0
33,F,5,suv,15035,1,1288,1,611,suburban,0
37,F,5,suv,10605,0,2710,0,802,suburban,0
63,F,7,sports,12491,0,1433,1,660,rural,0
70,M,2,luxury,9728,0,3966,2,703,suburban,0
53,F,6,suv,4965,1,5991,3,524,suburban,0
31,M,6,truck,15636,1,2391,0,622,urban,0
74,F,5,suv,8343,0,2687,0,653,urban,0
37,M,5,sedan,15018,1,837,0,559,suburban,0
39,F,4,truck,16389,0,1193,1,707,suburban,1
50,M,4,suv,11045,0,6850,1,675,rural,0
68,M,6,sedan,17839,0,608,2,627,suburban,0
57,F,5,sports,10107,1,7234,2,807,rural,0
51,F,2,sedan,10046,0,738,2,503,suburban,0
51,F,2,luxury,10123,0,10695,0,605,rural,0
45,M,3,luxury,10654,1,5877,1,645,suburban,0
53,M,4,sports,10568,0,5933,0,489,urban,1
18,M,5,sports,11040,1,2947,2,522,urban,0
40,F,6,sports,24699,0,2535,3,706,rural,0
48,M,9,sedan,7524,1,3092,0,469,urban,0
27,F,3,sedan,18364,1,1126,1,552,rural,0
50,M,5,sports,11432,0,2343,1,690,urban,0
41,F,3,sedan,10305,0,760,0,794,urban,0
71,M,4,luxury,15210,0,2822,0,665,suburban,0
68,M,3,suv,14797,0,1734,0,568,suburban,0
38,F,9,truck,8428,0,6600,0,520,suburban,0
42,M,6,sports,19943,0,4229,2,592,suburban,1
43,M,1,luxury,6835,1,2424,0,534,rural,0
38,F,5,sedan,13598,0,5442,0,743,suburban,0
47,M,6,truck,7813,0,3783,1,607,rural,0
33,F,6,sports,7894,0,3616,0,822,suburban,0
28,F,4,sedan,17147,0,2808,0,711,urban,0
54,M,4,sedan,11058,0,4738,1,588,rural,0
54,M,3,truck,15524,2,1688,0,534,urban,1
32,M,2,sedan,8339,1,6363,0,850,rural,0
58,F,3,truck,3515,0,5995,0,545,urban,0
35,M,4,luxury,14709,0,5561,2,621,suburban,0
48,F,5,sports,14386,0,4088,0,641,rural,0
57,M,5,sedan,9642,0,4259,0,432,rural,0
44,M,2,suv,14141,1,5823,1,512,rural,0
51,F,2,truck,10090,1,8502,1,685,urban,0
37,M,4,luxury,19576,0,2254,0,648,rural,0
42,M,5,suv,17783,0,1275,0,460,rural,0
41,M,6,sports,9455,0,1975,0,719,rural,0
33,M,6,luxury,11657,0,629,1,591,rural,0
42,M,6,truck,20761,2,3648,1,438,rural,0
21,F,4,luxury,14242,1,6235,0,718,urban,0
37,M,9,luxury,13379,0,2335,0,687,urban,0
40,F,2,luxury,15114,1,1800,1,425,urban,0
41,M,5,sports,19364,1,2077,1,444,urban,0
41,M,8,suv,9040,0,8259,1,643,suburban,0
44,F,6,luxury,16893,0,9519,1,541,rural,0
52,M,3,sedan,12110,1,21313,0,511,rural,0
58,M,5,luxury,16868,1,905,0,494,rural,1
35,F,5,luxury,9458,1,1692,1,463,rural,0
26,F,6,sports,17110,0,4757,3,723,urban,0
29,M,9,sports,6875,1,3925,3,543,rural,1
37,F,8,sports,4077,0,21448,1,645,suburban,0
39,F,1,sports,14666,1,6895,0,741,suburban,0
33,F,7,luxury,16670,0,2683,2,607,urban,1
25,F,4,luxury,12976,0,887,1,800,suburban,0
38,M,3,truck,21497,1,2386,2,509,urban,0
47,M,5,sports,10517,1,2028,0,531,urban,0
53,F,5,truck,18487,0,13731,1,570,suburban,0
36,M,4,suv,7285,1,1296,0,773,rural,0
38,F,6,sports,12967,1,3932,1,662,suburban,0
31,M,9,suv,17325,0,1094,1,543,urban,0
44,M,8,sedan,18980,2,2765,0,704,rural,0
32,F,3,luxury,8874,0,1578,0,773,urban,0
53,F,3,luxury,5291,1,2968,2,790,rural,1
18,M,5,truck,12346,0,1167,0,730,rural,0
39,M,8,luxury,16126,0,500,0,686,suburban,0
49,M,6,suv,5151,1,836,1,486,urban,0
47,F,6,luxury,16031,1,3200,1,703,urban,0
85,M,7,sports,23826,0,11707,0,671,urban,0
50,F,4,sedan,3856,0,6745,0,650,suburban,0
29,F,7,truck,1000,0,1642,1,581,rural,0
43,F,10,truck,3524,1,4644,1,556,suburban,0
18,M,3,truck,19549,0,3039,0,627,rural,0
43,F,7,sports,9327,0,11063,1,698,urban,0
32,M,3,luxury,8352,0,2922,2,557,rural,0
58,F,5,sports,8779,0,3127,1,374,urban,0
36,M,1,suv,14455,0,1864,3,651,urban,0
43,M,6,luxury,17787,0,14905,0,555,urban,0
35,F,2,sports,17820,0,2519,0,708,urban,0
71,F,3,suv,16939,1,1244,0,701,rural,0
40,M,2,suv,11085,1,3326,2,618,suburban,0
72,M,5,sports,11675,0,4281,1,541,rural,0
57,F,3,sports,6763,0,2568,0,547,suburban,0
52,F,5,sedan,19124,1,6569,0,728,urban,0
50,M,2,sports,14798,1,7780,1,788,suburban,1
50,M,4,truck,12559,0,1915,0,637,suburban,0
18,F,6,luxury,6271,1,2029,1,370,suburban,0
40,M,6,suv,1000,1,5420,1,413,rural,0
57,F,5,truck,5885,2,2621,0,632,urban,0
44,F,1,truck,14614,3,1925,0,452,suburban,1
23,F,5,suv,8590,0,2745,0,632,suburban,1
44,F,7,luxury,19516,4,4643,0,709,suburban,0
70,M,7,sedan,5793,1,4562,0,599,rural,0
63,F,4,sedan,11931,0,1719,2,672,urban,0
44,F,2,truck,13503,1,3160,3,711,suburban,0
59,M,4,truck,1465,1,2666,0,609,urban,0
39,M,4,sports,16881,0,11332,1,724,urban,1
19,F,6,sedan,10447,0,7970,1,609,urban,0
31,F,4,sedan,1000,0,7041,0,587,urban,0
68,F,3,luxury,10208,0,2884,1,573,urban,0
40,F,2,sports,17355,1,10663,0,567,suburban,0
41,F,4,suv,7113,3,732,0,687,urban,0
40,F,8,suv,4097,0,15479,0,557,suburban,0
73,M,7,luxury,4004,0,10886,0,689,urban,0
69,M,5,suv,9974,0,3815,1,723,rural,0
78,F,10,sedan,15944,0,1202,0,526,urban,0
42,M,8,truck,13676,0,1076,0,677,urban,0
49,M,6,sports,1828,0,1443,0,436,rural,0
22,F,4,suv,8649,0,3480,0,559,urban,0
67,M,8,suv,15297,1,1349,2,587,urban,0
27,M,2,suv,6445,1,8673,1,579,urban,0
48,F,6,suv,9763,2,16087,1,850,suburban,0
28,F,2,truck,4087,1,972,1,584,rural,0
36,F,10,truck,11379,0,7201,0,622,urban,0
32,M,6,luxury,13145,0,1269,1,570,urban,0
35,F,9,sedan,20633,0,8387,0,850,suburban,1
36,M,3,suv,12389,0,4033,1,790,suburban,0
36,F,8,luxury,13414,0,2873,0,736,suburban,0
57,F,5,sedan,12828,0,8747,0,505,rural,0
28,F,9,truck,9597,0,1520,2,604,rural,0
48,F,9,suv,12477,0,5700,0,800,rural,0
63,M,5,truck,20713,0,5536,0,808,urban,0
37,M,5,suv,10095,0,4235,1,473,suburban,1
34,F,4,truck,6078,1,2083,0,484,rural,0
41,M,15,luxury,14585,1,580,3,665,urban,1
62,F,5,luxury,5944,1,500,2,653,urban,0
47,F,4,truck,16429,0,1956,0,733,suburban,0
37,M,5,truck,5468,2,16184,0,696,urban,0
52,M,6,sports,20627,0,5189,2,715,suburban,0
28,F,6,suv,13316,0,3052,1,821,suburban,0
55,F,5,sports,9407,1,1120,1,558,urban,0
51,F,5,truck,14741,1,4057,1,562,suburban,0
40,M,5,luxury,14438,0,5284,1,677,urban,0
32,F,6,suv,14217,0,6384,1,697,urban,0
31,F,3,luxury,11953,1,1828,1,702,rural,0
53,F,6,truck,10626,0,4474,0,544,suburban,0
63,F,3,sports,18878,1,5076,0,620,suburban,0
35,F,5,suv,10696,0,11449,0,794,rural,0
51,F,2,sports,9874,0,2316,0,495,urban,0
18,M,6,suv,14119,1,4185,0,610,suburban,0
36,F,7,luxury,13519,1,5769,1,710,urban,0
44,F,3,sedan,6524,0,2118,0,699,suburban,0
31,M,4,suv,19935,0,838,0,638,urban,1
30,M,7,truck,5329,0,7404,0,660,urban,0
34,F,5,suv,5196,0,5740,3,795,urban,1
49,M,3,truck,20905,0,2422,1,818,rural,0
42,F,5,sedan,11663,0,3642,2,561,suburban,0
18,M,5,sedan,13121,0,6798,0,577,suburban,0
18,M,4,luxury,9135,0,2936,0,692,urban,1
35,F,2,luxury,10523,0,5399,1,674,rural,0
51,M,7,sedan,17512,1,1524,1,617,urban,0
18,F,6,suv,15015,0,3436,0,737,rural,0
37,M,3,suv,14652,1,3148,1,765,suburban,0
37,F,1,luxury,6047,0,8201,0,599,rural,0
65,M,4,suv,11017,0,954,0,640,urban,0
39,F,8,suv,15454,0,4083,1,404,urban,0
50,F,11,suv,2257,0,3241,1,642,urban,0
47,F,3,suv,7563,0,15731,1,551,suburban,0
18,F,3,truck,15842,0,1073,0,573,suburban,1
56,M,7,luxury,6475,0,3868,3,562,urban,0
48,F,7,sedan,8854,0,972,2,731,rural,0
52,M,3,sedan,17194,0,1798,1,771,urban,0
85,M,7,truck,14458,0,9337,0,583,urban,0
18,F,2,luxury,15735,2,2386,0,763,urban,0
70,F,6,truck,14345,0,19778,2,660,rural,0
40,M,6,luxury,14430,1,6027,3,524,rural,0
49,M,11,truck,12390,1,3419,0,694,suburban,0
44,M,2,suv,5607,1,2374,2,637,suburban,0
38,F,3,truck,10072,1,2008,0,527,rural,0
36,F,6,truck,10808,0,7100,1,692,urban,0
49,M,5,sports,4281,1,822,0,676,urban,0
22,M,2,luxury,9214,0,5469,0,613,suburban,0
56,M,4,suv,10156,1,10111,0,564,suburban,0
38,F,5,truck,19149,0,597,0,618,urban,0
28,M,7,suv,2914,2,2127,0,532,suburban,0
38,M,1,luxury,12460,1,1665,1,708,rural,0
63,M,3,sedan,13786,1,4706,1,665,rural,0
36,M,6,sports,15583,0,532,2,660,urban,0
50,F,1,sports,17387,2,1527,0,763,suburban,0
34,M,4,luxury,5991,0,1095,0,540,rural,0
56,F,6,sports,9771,0,994,1,549,rural,0
55,F,7,sedan,15231,0,1762,0,625,rural,0
72,M,2,suv,10131,0,5639,0,761,suburban,0
42,F,5,truck,12786,0,1493,1,536,suburban,0
55,M,1,luxury,17762,0,959,1,770,urban,0
46,M,5,luxury,16712,2,6154,1,593,urban,0
64,M,5,sports,14639,1,22287,1,716,urban,1
34,M,4,truck,18081,2,5801,2,613,rural,0
56,M,3,sports,8110,1,2659,1,713,suburban,0
42,F,2,sports,10847,0,4389,0,658,rural,0
44,F,4,suv,12317,1,917,0,701,urban,0
46,M,3,suv,7467,0,5896,0,707,rural,0
48,F,6,sports,18414,0,6654,0,694,suburban,0
43,M,6,sedan,14967,1,3780,0,593,suburban,0
48,F,3,luxury,14200,1,4535,3,595,suburban,0
68,F,8,sedan,5123,1,3020,1,491,rural,0
59,M,6,luxury,6306,0,3542,1,583,urban,0
58,F,6,truck,6585,0,2610,0,645,urban,0
38,F,6,truck,1000,0,8026,1,606,rural,0
31,F,4,sedan,12618,3,2276,2,794,rural,0
59,M,5,sports,1000,1,4705,0,771,rural,0
58,F,4,sports,10827,1,5436,2,753,rural,0
67,F,9,truck,19015,1,1779,2,628,suburban,0
35,F,2,sports,12952,0,1753,2,809,rural,0
41,F,6,suv,8594,0,40606,0,602,urban,1
20,F,10,truck,11124,2,2234,1,717,rural,0
39,F,6,luxury,16606,0,6159,0,624,suburban,0
59,F,4,luxury,13301,0,5466,0,727,urban,0
38,F,7,sports,7324,0,2850,0,652,rural,0
54,F,5,luxury,12313,0,7691,0,673,suburban,0
42,M,5,luxury,11704,0,989,0,630,rural,0
49,F,4,sedan,5617,0,3654,4,671,urban,0
27,F,4,sedan,17154,2,860,1,562,urban,0
46,F,6,luxury,1000,0,1888,0,736,urban,1
18,F,4,truck,12220,0,6606,2,604,rural,0
42,F,5,luxury,10964,0,3441,1,725,rural,0
20,M,2,suv,8396,0,2632,1,602,urban,0
63,M,10,truck,7527,0,1350,1,580,suburban,0
56,M,7,suv,23761,1,5109,0,618,rural,0
52,M,4,suv,8672,1,2288,0,668,suburban,0
67,F,3,sports,9768,0,4510,0,850,rural,0
30,F,3,sedan,13206,0,6975,0,724,urban,0
71,F,7,sports,9595,0,1329,1,754,suburban,1
58,M,6,suv,8095,0,9240,1,556,rural,0
41,M,3,sports,8175,0,4454,0,827,urban,0
62,M,9,sports,10217,0,13477,0,533,urban,0
28,M,2,truck,17219,0,1474,1,804,urban,0
32,F,6,sports,12274,0,8203,2,533,urban,0
35,F,8,truck,19854,0,48766,1,635,suburban,0
37,M,4,sports,17864,0,6188,0,688,rural,0
29,F,6,sports,17551,1,3752,4,690,urban,0
63,M,4,suv,13440,1,6317,2,632,suburban,0
41,M,4,suv,12993,0,25553,0,600,rural,0
50,M,4,luxury,15397,1,500,0,632,suburban,0
36,M,1,luxury,16756,0,500,1,533,rural,0
18,F,3,truck,5741,0,2751,2,606,urban,0
49,F,2,suv,14624,0,3576,0,822,urban,0
18,M,6,luxury,10059,0,3851,0,671,rural,0
43,M,3,sports,11008,0,6329,1,755,suburban,0
